title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
再聯絡 Keep in Touch,rap, PoeTek,2015,468,"{""熊仔 PoeTek""}","1

記得小時候 週末 我常窩在你研究室的
角落 默默 和你聽著羅大佑
看著你點火 抽煙斗 忙寫作 忙研究
忙應酬 電話裡你總對那些叔叔伯伯說
再聯絡 在聯絡簿上我稚氣的字跡
今天日記的主題 偉人的事蹟 寫的全是你
最崇拜的人 也是我最敬愛的人
我長大也想快點成為像阿爸一樣重要 無可取代的人
到哪裡都受人敬重
好驕傲我也姓熊 我心目中披披風的英雄
你要我挺胸  講信用
有一天當你離開 這個家 將由我扛起 I must be strong
而當你離開 這個家 那年我十八
隔著門 我聽見你們最後一次吵架
還沒有意識到那是你最後一次踏出家門
不回家的人 還算不算是家人?

C
你說 我們再聯絡
我們就 各過各生活
我們各有各的情緒要收拾

So...我們再聯絡
我們就 各過各生活
我們各有各的喜怒哀愁

2

大學的一個長假 媽 回美國的娘家
你把身邊事物 放下 終於回來
陪我兩個禮拜 想也奇怪 當你再
回到你的書房 好像你從來都沒有離開
一切彷彿回到從前你 坐在客廳的沙發椅
一起吃著甜點 看著衛視電影台
而那熟悉的煙草味 卻 不知道為何
格外的刺鼻 刺激出眼角的淚
直到媽媽回來的前夕 你站在大門口
背對著我 回過頭 對我說 再聯絡
⋯⋯不敢相信耳朵
再聯絡 怎麼會對我說 再聯絡 才終於想透
事實是 最後一次 同個屋簷下的生活
我過著平凡日子 日復一日 將它蹉跎
看著你 騎著單車 離去的背影
慢慢融入背景 止不住的悲 淚水潰了堤
C

你說 我們再聯絡
我們就 各過各生活
我們各有各的情緒要收拾

So...我們再聯絡
我們就 各過各生活
我們各有各的喜怒哀愁

But oh... Don't you know it hurt me so
Don't you know: 再聯絡 以為只對外人說
曾幾何時他口中的外人 竟然也會變成是我

But oh... Don't you know I miss you so
有時候: 我會夢到我在舊家 他就坐在客廳的舊沙發
我走向他 他摸摸我的頭 播亂我的頭髮


3

如今你兩岸奔波 心血也有了成果
每兩三個月才能見面 見面時你白髮又增多
媽媽也時常掛念你
搬家時整理著照片 一不小心又掉入回憶畫面裡
前幾天 我又夢見 我回到從前
回到那懵懂的童年 破鏡又重圓
而當我醒來時傷口再次撕裂
我用力的把頭 按進枕頭裡 還是不能夠止血

但當我想起你和你到鄉間的溪邊釣魚
想起你撬開水溝蓋撿我掉落的玩具
陪我玩四驅車 逛玩具展 騎單車 到碧潭
才知道 失去的不曾失去 遺憾的不值得遺憾

正因為誰也沒有能力 奪走我們的回憶
謝謝你 讓他們回味起 仍如此美麗
複雜世界裡 單純的情感未曾改變過
阿爸 我愛你 我們再聯絡

C

你說 我們再聯絡
我們就 各過各生活
我們各有各的情緒要收拾

So...我們再聯絡
我們就 各過各生活
我們各有各的喜怒哀愁

But oh... Don't you know I miss you so
有時候 夢到我在舊家
你就 坐在舊沙發上對我說

你說: ""I miss you so...""
你的手 播亂我的頭髮
But that memory is so far.... so far


13.5 Farewell

語音：感謝您使用無限企業集團的人格特化療程試用版，希望您對這次的體驗感到滿意，也期待能再次替您服務！我們下次見！",2281339,zh,zh,zh
Keep it oldschool,rap,Br,2015,2365,{},"[Verse1]
該從哪說起
MU的版聚後熱狗和大支都變成了homie
震撼圈子出了專輯
朝主流抨擊 五千萬個幹仍擋不住韓流來襲
誰出了第一張混音帶
Tripoet 叁劈 學院派很青睞
那屌flow 聽完早就為那深度吃驚
老莫成了教授幫你溫故知新
別忘了TTM 誰發明台中愛
幹訐警察比NWA還澎湃
DR.T 地下歌手 到Sneakerhead
仔細的check 看你老師把買鞋子be legit
誰是台灣的Wu Tang？E.A.C
精總 大帝 DaMi 茶米拿下2005 Iron Mic
接班人不用再等待 我會fly更high

[Hook]
(這喜蝦咪瓜）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
說那過時但你身上穿著復古
（是誰發明台中愛）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
我不會在這如果老學校沒為我鋪路
[Verse2]
你愛Miss KO 卻問我""Yo 誰是AP?""
是滿人讓我知道中英夾雜那麼順
黃金年代的flow 搭紐約的飛機
你卻只記得Eso罵滿人有大頭症
鐵竹堂的 經典依然活在KTV裡
""能不能""""為了兄弟""復出 就算沒""Money!Money!""
不只當個稱職MC 他也唱歌甚至演戲
Call him JZN 重組Soulstar
說實話 如果還有竹幫
發CD Sucker MC早就打包回家
RPG 蛋堡 國蛋 三個
加一起 陣容讓人傻到結巴
那時候 爆走兄弟們還不是FRESHKIDZ
YB 還沒黑錢來得快的壓力
那時甚至還沒Beat by dre
但G Brothaz早就占領西台北 P.G. represent

[Hook]
(你不聽老歌）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
說那過時但你身上穿著復古
（Manhattan紐約台北）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
我不會在這如果老學校沒為我鋪路
[Verse3]
這是頑童你知道的MJ116
從西岸唱到E SO變安捷飛CEO
儘管HATER罵遍 但你依舊感動那天跨年眾人齊聚新生橋的畫面
但人總習慣把缺點放大 所以你爸媽還是以為饒舌都是髒話
資訊越發達 卻越來越少人願意去了解這文化的框架
越來越多SNAPBACK 越來越多喬丹
不變的是詼諧 和取笑的調侃
""BR嗆我阿 快點來嗆我""
為了譁眾取寵所以我得繼續這該死的BATTLE
覺得大 才HIP HOP的人早不再稀奇
儘管都從Sean John穿到了FTC
熱情不曾澆熄 唯一不變的是頭上那New Era的標記

[Hook]
(流行讓你麻木）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
說那過時但你身上穿著復古
（這喜蝦咪瓜）WE KEEP IT OLDSCHOOL
(FUCK UR SWAG)WE KEEP IT OLDSCHOOL
(HANDZ UP!HANDZ UP!)WE KEEP IT OLDSCHOOL
我不會在這如果老學校沒為我鋪路",2331330,zh,zh,zh
101,rap,PenSoul,2015,427,"{""Joey Huang""}","[Hook]
101, 101, 我不只0到100我還到101
X2


[Verse 1: Joey Huang]
我從 最底部的地面 被低估的起點 沒進步的曲線 往上爬
擴充 沒頂部的極限 每一步的裡面 堆砌獨特歷練 榜上查
我的名字成 為傳奇 每晚你 腿軟地 追趕你 別嘆氣了
黑暗裡 誰竄起 沒關係的 誰管你 悲慘的 悲歡離合
我心安理得 穩扎 穩打 地爬 像走逆向的電扶梯
用計算機一算你炒高的身價探底 像我口裡放的鹽酥雞
別的先不去 想 我踩連珠地韻腳跳著圓舞曲
心態變不一 樣 但我只想爬上最高的那一棟建築裡
於是我從零開始 成為自閉兒
除了歌詞我的朋友只剩自己了
我沒那麼會 也沒那麼快
只相信有ㄧ天101底下全都是你的
但沒要你們standing ovation或點頭如搗蒜
從來沒人到的境界才是我的標竿
I mean I started from the bottom我是真的爬得超慢
但我現在站在頂點跟你說聲早安

[Hook]
101, 101, 我不只0到100我還到101
X4


[Verse 2: PenSoul]
I started from the bottom 他們八成還在發楞
My flow so cold 他們渾身發冷
Damn so slow 他們動作慢的讓我想要殺人
總是慢半拍 他們慢慢該
我老早用光速全力直衝那頂端
新一代的舉人 call me筆魂 早已啟程
他們的詞甚至沒有起承轉合
難以緩和的局面 他們備受侷限
我一邊回想聽著Lupe的那一些good old days一邊開疆拓土
他們還要媽媽做主
全身上下都是租借 地盤全都變成我的租界
一臉嬌生慣養要保護
看我怎麼拆爛他們落腳處
我與就已 老早就已 開創嶄新的方向
高速前進 像吃點心 從來不只是講講
一聲槍響 全數殲滅 通通都化為煙硝
黑特減少 輕鬆言笑 觀眾為我們大聲尖叫

[Hook]
101, 101, 我不只0到100我還到101
X4",2347887,zh,zh,zh
Rferfew,rap,Fujhfeir,2015,47,{},"它就像是清晨陽光
灑進教堂的玻璃窗下
讓它的光芒照耀天底
這是場大浪
趕緊踏上
它即將要掀起
乘著鉛筆
用文字我建了方舟
我堅持
儘管名利不見得雙收

這首歌助你踏上正軌
手中的筆就像是沾了聖水
我們都是信徒",2388634,zh,zh,zh
異常火曜日 The Tuesday,rap,YoungQueenz,2015,1116,{},"Verse 1:
我懷疑聽到公雞叫 一聲劃破奧茲市瀰漫嘅灰塵 空氣
晨光透射面上殘舊玻璃 直射我嘅面 街上傳黎清晨 掃地聲
我打個喊路 聽到獅子叫我醒 wake up man
傳黎慘叫聲安祥星期二嘅朝早都充滿血腥味
有如兩座摩天大樓將會遇上飛機
為麵包去開槍 印偽鈔有一箱 it happens in all day
我地依舊celebrate chok 住香檳 飲住gordon's
跳上車卡 呢度再冇12點 Cinderella通宵晚會過後半身裸體
着住underwear 吸住大麻煙 米老鼠同小魚仙嘅殘肢佈滿滿地
Whatever , who cares
異常火曜日 洒精同罪惡不停倒係我杯中滿瀉

#Hook:
Never gonna stop Never gonna stop
異常火曜日嘅傳說係你同我嘅喉嚨口中不停傳說
由大街小巷穿至巴別塔 失去神嘅世界 暴戾 欲望 加劇氾濫
Can't stop Won't stop
Never gonna stop Never gonna stop
異常火曜日嘅傳說係你同我嘅喉嚨口中不停傳說
由大街小巷穿至巴別塔
Verse 2:
點起火藥 將愛麗絲炸到血肉模糊 腦漿天上飛
呢個絕對唔係夢遊 而係神一樣咁真實
帶住傳奇 火曜日all day 直永無止境
善惡交錯一早模糊雙眼結晶體
城市故然係優雅細致 但難免變得野蠻殘忍
當伏特加飲左幾支 眼神變得凶
Life is a bitch 赤裸裸嘅現實 唔駛安全套
放上罪惡溫床 任意姦殺
城市人嘅笑面仍然掛住幾分奸詐
That's true 9又4分之3係背後拱你出月台
生活唔保証任何事 正義更唔存在 每條佈滿空洒樽同嘔吐物嘅街道
滿血絲嘅眼神係滄桑 貪婪同憤怒 伴隨無數挫折
異常火曜日 欲望太簡單 快樂卻係複雜

#Hook Repeat#

Verse 3:
火曜日嘅世界異常 令我異常先天 逸樂my motto
Fuck tomorrow 邊個可以未卜先知
係日落後嘅桃色胭脂 裸露 最醇嘅酒要問過ozma先知
I'm puffing L ,stoned as hell, kicking最純正嘅真理 好似救主,先知同預言
街頭智慧 勒索 破窗 荷槍 伊索同 寓言
LSD fucked me like ... dead wrong
將匙羹預熱 You're Dead
當你遇熱 我嘅詞根係萬惡之源 禍福
冷暴力足以將你雪藏好似過冬
Party and bullshit 全神貫注直至窗外得返枯枝
Is a big city dream , never get old
左擁右抱 敗壞 with my deadly flow
禮崩樂壞嘅世界 投靠靈魂定肢體
跳入舞池 開始施洗",2412394,zh,zh,zh
除舊佈新All New Err Thang,rap,GoodMan Production,2016,222,"{""Joey Huang"",DTtheRed,""品格教育GoodMan Production""}","[Intro]
這是笑話
這怎麼樣像笑話咧？
喔我聽了好好笑
就是
那位先生跟小孩說....

[verse 1:湯捷aka 肥廢魯宅]
趕快趕快 去叫你媽媽來聽
這首東岸真的蠻帥 比黃金年代還金
比 old Dirty Bastard還old也比溫故知新還新
但你不信不行 因為你還是怒聽
像是哈狗幫 我們有種哈味 衣服很大褲子很垮 假嘻哈？ 對！
你在西門町勾把妹妹 亂插. 隊
我們自己解決 就像MC 88 boy
機會來了不放棄 我像是哩哩哩
天上掉下來 一首beat像拉到777
哈哈 XD 你要去哪裡？
強者我麻吉品格教育的 party
從基層做起 We stay low key
但我們歌詞超級激進的 像是LowKey
抱歉了 我是HipHop臥底 關於怎麼從流行做起 可能要問我homie
就已
[hook]
肯定是前世相欠債
我們才會一起ㄎㄧㄤ掉像現在 混沌不清的年代
溫故知新也不賴 除舊佈新更實在
Hip hop for life

[verse 2:就已]
別問我問題 別跟我homie 給我讓我中的beat再說shout out to Torry
我們站在101揮hiphop國的國旗
寫歌詞像寫作文用張愛玲的邏輯
像是韻毒犯dudu 用押韻打招呼
新年快樂sucker mc被我們大掃除
沒有吸塵器吸人氣 還是讓你一直聽
湯捷是饒舌界的紅衛兵破四舊立四新
全部都是新的 金的 金上癮
Gold Chain & My Cloths 太嗨 嗨藥上了癮
我沒去過美國 但我有美國夢 我也想學大支饒英文 我有一個夢
顏社十週年 我二十歲 來自台大嘻研 squad up 我們組隊
我們是嘻哈生意 不是生意人 湯湯水水倒廚餘ft.陳綺貞

[hook*2]
肯定是前世相欠債 我們才會一起ㄎㄧㄤ掉像現在 混沌不清的年代
溫故知新也不賴（帥） 除舊佈新更實在
Hip hop for（乘） life

[verse 3：湯捷aka肥廢魯宅]
我們像是Black Star, Gangstarr ,NS 69
也像Nas ,Bravehearts Hip Hop never die!
Doe or die 我們像AZ 和 RZA
當你們還在忌諱 浪費機會 我們繼續飛
不管喝幾杯 我們不用言論免責權 你有你的選擇權
但當個fake ass沒有 直覺選的甜
再說我們 CD也沒賣比陶喆貴 哪有品格教育那麼swag 我們 超社會
我們超新超會 你們超ㄍㄧㄥ超廢 你們裝文青超 假 我們掏心掏肺
我們在韜光養晦你還在尻槍耍廢 用不著Miss ko把你打破 我先把你砸碎
雜碎幫你們開個茶會 想玩貪食蛇嗎 還是哥幫你載彈水阿給
叫我嘻研阿拉蕾 aka 掃把星 哈雷 ain’t nothing but a gangsta party~~~~~~~
[hook*2]
肯定是前世相欠債 我們才會一起ㄎㄧㄤ掉像現在 混沌不清的年代
溫故知新也不賴（帥） 除舊佈新更實在
Hip hop for（乘） life",2413288,zh,zh,zh
品格教育（intro） All We Need is Moral Education,rap,GoodMan Production,2016,21,"{DTtheRed,""品格教育GoodMan Production""}","[prelude]
（可以不講話站在這邊默禱嗎？）
（我是牧師的牧師叫我牧師也可以）
（大家看我是有愛心的人）
（大家看我是神職人員）
（剛剛這個建設都是假的那是硬體我們需要的是軟體）
（正派清廉讚）
（都是老師中的老師老師的老師是我叫我游老師可以）
（可以時間內可以）
（我可以再移動我的位置嗎）


[verse1:湯捷aka肥廢魯宅]

2014年11月 他感動我七十個七遍
過了一年我們終於可以說 「健保，真的健！」
他是先知品格教育的實踐
被當成白癡 經歷最低票落選的歷練
因為他 我們更加認識自己
認識到我們需要的不只是硬體
我們需要軟體 需要反省
我們只想到自己卻忽略掉品格教育
為什麼我們拼命做自己卻越做越躁鬱
我們需要品格教育！
我們自編自導自演在仙島演一齣鬧劇
誠實跟愛心是我們的道具—— 品格教育！",2413292,zh,zh,zh
我會勝利 VIctory at the End of Time,rap,GoodMan Production,2016,44,"{DTtheRed,""品格教育GoodMan Production""}","[verse1]
我不用刻意培養浩然正氣 我會戰鬥到最後一口氣 我會勝利
唱完最後一首beat不論順逆 盡完本分 相信上帝會伸張正義
沒有不散的筵席 但這筵席 是我們成為更好自己前的見習
練習 愛也需要練習 沒在騙你 就像在演戲 「我的實力深不見底」
I flow so deep my flow so sick  ,back to the old school it’s  all about love and peace
調色盤在我的心底 不戴有色眼鏡 我點石成金 也把酸民變成鹼性
別再讓他們騙你 不必假裝中立 你可以乘著風 就算被當成空氣
我從板凳出發 現在換你中繼
把好消息傳出去 別再封閉 我會勝利

[hook]
我們勇敢的來 因為愛是一定勝利
我會勝利 因為從起初 愛就已 經超越了恨意
我會勝利 我們勇敢的來 因為愛是一定勝利
我會勝利 因為從起初 愛就已 經超越了恨意

[verse 2]
我的technique 太銳利 像Jay-Z
但這些東西終究通通都會化為灰燼
所以我像missionary 向前推進
也像 Linsanity 從基層做起
不用把誰喚醒 如果都是幻影
但我相信 邪不勝正的 時刻將近
我相信 有天和平不用簽訂 因為同理心是本能這我堅信
不再有父權主義 三民主義 不再有VOC或ROC 帶來對立
不再有繪聲繪影的仇恨 充滿晦氣
一切都是新的 像嬰兒呱呱墜地
如果還有恨意 勸你逃離這地
我們勇敢的來 因為愛是ㄧ定勝利
放下屠刀 立地變成聖地 我們舉起V 因為 一定勝利一定勝利


[outro]
我為什麼這麼勇敢的來啊？
因為我會勝利",2413295,zh,zh,zh
昨天晚上殺了自己,rap,Jack Chen,2015,21,{},"昨天晚上夢到
拿起桌上的手鎗殺了自己
走廊的窗戶沒關
流動的空氣令人窒息
我討厭這種距離
尷尬的氣氛凝結成冰
太多的藥物 加上咖啡因
我媽說我尼古丁成癮

當我睜開眼睛 發現他正在親吻我的手
冰冷的嘴唇
如同黑洞般擴散放大的瞳孔
我說 離我遠點
我不想也像你遭到天譴
他說 你若想也變的鮮豔
就不要怕被指指點點

我都明白 我當然懂
你覺得我是在煽動
但我比你懂你的是非
你的軟弱 你的自卑
你曾犯錯 食髓知味
在那關頭 你太慈悲
你的恐懼 和空虛
都是自我毀滅的工具",2414922,zh,zh,zh
麻醉 Anesthesia,rap,Jack Chen,2016,20,{},"想要用煙將自己麻醉
想要用酒將自己麻醉
想要用性將自己麻醉
想要用愛將自己麻醉

那傷口從未消散
只是暫時走遠
以情感作為交換
才忍得住眼淚
時效一過 天人交戰
令人疼痛的寂寞
掩飾意圖使人成熟的離愁
這杯裡頭
有著什麼樣的故事想告訴我
或者你不想說 那就罷了 我也不強求
不想要去追究理由
說真的
我也懶得去猜測
你的喜怒哀樂
我在這
不是為了這個目的而來的
讓我們來假裝快樂
來嘗試去忽略現實
凸顯不只表面上表現的膚淺
以及廉價
格格不入的偏差
把愛跟恨都往這杯子裡加
現實暫時不去理它
心跳加快讓我心慌
我在這個歡場裡顯得迷惘
把它一口喝下 獲得啟發
想要用煙將自己麻醉
想要用酒將自己麻醉
想要用性將自己麻醉
想要用愛將自己麻醉
我嘗試將自己麻醉
你嘗試將自己麻醉
太多問題 討厭的世界
今天晚上就先不要面對

看著我
眼神 彷彿有著說不出口的煩惱
手指和肺都被煙霧纏繞
火走到盡頭
是寂寞或慾望在燒
我們聽著音響在咆哮
藉酒壯膽 不怕被朋友嘲笑
任意攀談 透露貪婪
如赤裸躺在餐盤
即將被虛榮感吃掉
在人群中尋找歸屬感的羔羊
在舞曲中盤旋 我們有說有笑
讓多巴胺沒這麼早失效
而你的名字我卻還不知道
但遲早 發現只有肢體起舞
自己則被釘在地上
那空洞的衝動太漫長
回家還請你把安全帶繫上",2414942,zh,zh,zh
花若離枝 If The Flowers Leave,rap,Aristophanes ,2016,205,"{""Aristophanes 貍貓""}","闔起的眼睛在棺材裡睜開
亦不能稱之為生的證明
不由自主的、強烈的生之欲望
斷了氣之後不知去向
落在身上 四百下擊打
比四百下 更多
你把雙手砍掉 交出去
那瞬間以為能控制一切能報復能翻轉什麼即便只有一點點
任誰都迷戀悲壯與青春的魔力

就我的角度 或某個角度
從你的頭頂或下巴看 你把鐵釘咬住
辛辣在我們嘴裡同時泛開
誠懇或不誠懇的眼淚鼻涕
嗜辣 的執政黨混合著一起 吞下去
如同憤怒往上竄
你的身形還在變化
期待真實的一場抗戰
卻被掛了電話
此刻
激烈顫動的是 房間盡頭被你鎖起來的門把
在黑暗的土壤裡
思想著春天與你無緣
幻象壓倒真實而浮現
你的肌肉各自游開
成了黑潮裡泛著銀光的魚
劇烈跳動
你的血誕生成一滴滴的瓢蟲
爬過麻木的手肘
他們開始覺得癢
你的頭髮絞緊成引信
想趕在現象崩潰之前點燃一個世代的爆炸

在暴雨降下的時候
你的靈魂倚靠著小島尖銳的山脈
臉頰摩擦被盜伐的樹木
偷看那些離開的人
大風起時
有人乘風飛行
沒有選擇的人 被踩踏蹂躪
我們的歷史滿是傷口
我們的信仰不常有
我們的眼睛被搶走
我們只作消極的忍受
你伸手碰觸東北季風
探問下一個季節的來臨
從濕濕的氣團裡抽出一封封信
以不同語言發音的鄉愁
都生了病
黴菌和苔蘚交錯
爬上你透明的皮膚 蔓延出去
碎石安身於你光滑凹陷的肚皮
神靈感動不已
沒有什麼好羞愧的
沒有什麼好羞愧的
再也沒有什麼好羞愧的


裸身無所謂 破碎無所謂
因為再過一年
你的胃就可以養出稻米
水田輕輕呼吸
輕聲附和潮汐
隨風離去的花朵
有一天會回來這裡",2427610,zh,zh,zh
切如你所願  As You Want,rap,Aristophanes ,2016,378,"{""Aristophanes 貍貓""}","我知道你和其他人不一樣
從第一眼就知道 我就知道
所以我都可以原諒
哪裡不一樣我也說不上來
你像我所知道的人一樣有著千萬個 不得已
你一定有什麼悲傷的過去 （可以用來解釋這一切）
你的心一定曾經被踏成爛泥過 身上一定有疤
何不直接一點 你也當過誰咬碎吐出的殘渣
你用宿醉的牙齒咬過那個女人
你恨她因為她有一份比你好的工作（可是你離不開她）
你在她把拉鏈拉起來之前急急忙忙地把手伸進衣服裡
然後你發現這一次竟然沒辦法勃起

你打了你的小孩 對他說謊
接著發現你受過的苦在他身上重複播放
你覺得有誰 有誰應該要來為這件事情負責
不過要是說到投票你根本懶得去

年輕的時候 你懷念的那個年代
空氣像麥芽糖 堅硬半透明
如今生命不斷脫落 一截一截 皆成垃圾
將來你會遺落神智 像蟬蛻下牠的殼
我還是知道你和其他人不一樣
大概是這樣吧....
你還是想抓住我 尋求哪怕只是一點點的安慰
你從來沒像現在這樣容易受傷
所以到我床上來！
你以往得不到的愛都跟我要啊！
你可以哀慟至極盡情哭泣
張開乾裂的嘴唇盡情詛咒別人 一切如你所願
一切如你所願
一切如你所願
一切如你所願
一切如你所願",2427616,zh,zh,zh
你不能比喻我 I Am Not A Metaphor,rap,Aristophanes ,2016,311,"{""Aristophanes 貍貓""}","我呈現的意義在你思維裡如石油漏出
你抓不住我的年輕
我也抓不住我的
宛如咒術一般的狂歡時光裡
我的恨意釋放以性慾的形式
你情不自禁地停滯於此
任由我違反你的意願
否認你的歷練
以浮誇的語言
逼你遷就我返回起點
那裡你比我更弱、更弱
那是你未曾想像過的生活
生活在裸露的巨大女性雙腿之間
暫時以妖精取代母神
你若不看我的狂飆
我上你一千次我還是處女
你不能把我比喻為土地
你不能把我比喻為任何你能得到安慰的東西

你不能比喻我為花朵
你不能比喻我為海
你不能比喻我為烈火
你不能比喻我為愛
你不能比喻我為港灣或國家
你不能比喻我",2427617,zh,zh,zh
桃 The Peach Blossom,rap,Aristophanes ,2016,543,"{""Aristophanes 貍貓""}","我帶來一幅畫 展開給某人看 他搖頭
我真誠道過謝後 聽見一聲歎息
我挽起袖子 他欲言又止
而我背對他 向上游走去
好暗 好暗 在山洞裡 就好像走在夢裡
水流倉促網住一尾魚魚尾拍水的聲音
這裡很暗 很冷
黑暗玉體橫陳 撫摸著 行走的我
而盡頭的光像個逗點
之後誰也詞窮
挑逗著肉眼
疑惑如墨跡時淡時濃
黑暗對我說
「你要走了嗎？你也是從我的子宮裡誕生的啊！」

光！
豁然開朗
千萬根細針扎我 我瞇眼看
山洞裡的陰涼被陽光乾淨俐落地剪斷
宛如重生 好像出世
視網膜被潑上殘影污漬
陽光在我額頭上細細敷著一層汗
終於走到了桃花源 儘管很慢
但這裡是哪裡 觸目一片荒蕪
樟樹彷彿企圖遮掩著窗戶
諱言人去樓空
而我一身不合時宜的裝束
抱著光束像抱著金黃色的稻穀
才逃離城市光煙霧
來到這桃花源的破敗對我剛宣布
往前不是炊烟 而是廢墟
為什麼天空還這麼晴朗？
它不知道我看到了什麼嗎？
破磚碎瓦 這不對吧
我呆呆站著 讓我退化退化成沒有感情的生物吧",2427619,zh,zh,zh
月亮之旅 Fly To The Moon,rap,Aristophanes ,2016,505,"{Tien,""Aristophanes 貍貓""}","月亮之旅 Fly To The Moon ft Tien

沒有風的晚上 要到月亮背面去
塵埃從灰變綠 那麼凝視著 光暈搖動
隱形的長梯帶電等速下降
其上跳舞的人如畫像
那不是從地表出發的人能走的路
那就得換個 更好的方式上升
在 無風且晴朗的夜晚上升
帶 著種種沒有根據的傳說和象徵

端來一盆露水 漣漪從中心擴散
浸泡著向下看的臉 我的臉 接著
撕下蟬蛻 薄荷葉脈各半
割斷 蜘蛛絲 綑住以上材料 扔進去
用毛筆蘸了 手腕一翻
把 顆顆露珠甩上天去
突破大氣層的邊境 作為先行者

直線、全速 飛行！

附在耳邊有張小小的嘴巴
碰碰我手腕的是一隻小小的手
送進耳裡的是不能理解的語言
排列在心中的是不知功能的鈕
身體融化在孤獨裡 直到成為更大的孤獨
直到再無秘密可吐露
直到再無自我可吐露 hah
所有的悲哀都有個出處
混著漲痛的恐懼把毛孔堵住
遍尋不著我那柔軟的肉體
宇宙塵埃趁隙輕輕墜入
而此時瀕臨死去 依舊活著
在星辰靜止時 暗處無聲
聚攏後四散
我年輕的夢
整齊地被刺穿
那些已經遺忘的痛
我牽掛的人
住在危險的城
我背叛了他們
我背叛了他們！

隱遁進美麗的幻想裡
隨心所欲的換場景
人們迷茫的說著些諷刺的話
所以我需要距離來懂那背後的愛
在遠處發現思念的清醒
固執地鑽進心裡
家族在我背上投下巨大的陰影
斷、斷續續地噴出精液
朝著宇宙 朝著未來
矇眼做著 重複再重複
如此溫馨而恐怖
一切都 沒有目的！
翻了面的白紙 一樣什麼都沒有
令人失望的什麼都沒有
不過孩子的手 可以把它折成一艘小船",2427622,zh,zh,zh
洞穴之夢 Dreams Of Caves,rap,Aristophanes ,2016,159,"{Tien,""Aristophanes 貍貓""}","扭曲的隧道入口
種著沒有倒影 莊嚴的柏樹
牆上的壁畫 暗示曾經有
人體可以 往前的活路
土石塌陷之處 靈光乍現地
點起柴火 影子活過來成為生物
講起床邊故事 睡著之前 他們值得一個更親暱的稱呼
濃墨重彩的跳
神話中的怪物找不到腳底
於是他們始終學不會笑
暴力一找到機會就直直穿透表裡
在愛與和平成為政治不正確的地方
直覺與本能一來一往
緊緊擁抱氾濫溫情的人們 亦將
改變他們高尚的立場

漂流開始了
可是我們已經沒有家鄉可以回去
執意呼喊絕望 那麼將只有虛空會傳來回應
寂寞貼著胸口和背
無人監控也無法隨性
只有睡著的時候
才能妄想和嬰兒交換夢境
漂流在星球之間 逃避遺憾 逃避至此
逃避自己是個膽小鬼的事實
然而神不會遺忘
就像 宇宙正在延展一樣
溫暖的黑暗 冰冷的黑暗 正無聲 無聲
包圍著
以往居住在地球上的我 完全都不知道 不知道 不知道



至少黑暗
遠古現在都絢爛
至少黑暗
隱瞞思念的眼睛
做著夢
往山脈誕生地前進",2427623,zh,zh,zh
